species,ph,temp,s1_carb_conc,s1_nitrogen,s1_agitation,s1_time,s2_carb_conc,s2_nitrogen,s2_agitation,s2_time,feeding_regime,feedstock,yield
Cupriavidus_necator,7.166297809544414,35.17788731219279,12.929961665070984,1.495016482235865,673.0185251656433,9.41676788193475,24.213933138888418,0.00800063022102354,426.6845660621695,25.850280370559474,pulse_wise_feeding,oils,1.1040610236471642
Escherichia_coli,6.8942994986998,36.67508897767228,17.109434588473476,2.990491580582159,587.5921523851673,17.02109773063883,42.66434620138021,0.008183837551523987,529.9532485918309,13.928391076827296,pulse_wise_feeding,sugars,1.2910727366145869
Escherichia_coli,6.8926101867532585,35.558741304823066,13.593970616322029,1.683123863469524,648.0345114644279,18.860362102984567,38.5603322343602,0.0017700297868262127,416.30362727036476,18.16984493580422,pulse_wise_feeding,oils,1.3585017035847438
Cupriavidus_necator,7.146403622114256,33.28957341736823,15.465036795004437,2.616996958407013,651.1516406745388,13.50264331688388,54.36160858176561,0.010626205636477837,358.31066960840593,25.434909154327755,continuously_fed,sugars,1.2935645024479057
Cupriavidus_necator,7.065211728739693,35.94779879655711,11.488560154747336,1.9101235260745242,709.0362454564579,15.831404410681596,42.09490099226909,0.0015545161977074562,663.859248351188,16.272593411452956,continuously_fed,sugars,1.241441777022123
Cupriavidus_necator,6.977224499476071,31.975653849115396,14.62611727574281,2.241517811958113,738.2918046976649,15.19377909503861,42.62744504876274,0.000812017202785329,545.8202351991663,15.591538866200732,pulse_wise_feeding,oils,1.3878123552874462
Escherichia_coli,6.948649389028891,35.0009208009118,17.878634255083128,2.0453342319255463,404.8157271857583,18.785342834893946,37.98270039453485,0.012062132491645219,304.315688120508,29.968312721433946,continuously_fed,oils,1.292156513733822
Escherichia_coli,7.0989359418899385,35.46970146043154,12.384162570698365,2.909950272618329,646.4854922333748,8.411009245259509,30.277553508998963,0.01636804273063739,631.0335572884716,27.287734206866393,pulse_wise_feeding,sugars,1.2235397738437486
Escherichia_coli,6.98913873623502,35.19712922271313,18.01281111927517,2.8980020303656464,661.6337794649514,14.480232122705143,53.38051300435979,0.019429945606902695,559.6568502617641,15.802166571506211,continuously_fed,oils,1.3207707987297344
Cupriavidus_necator,7.119164026932614,31.99781420317613,11.297081396368228,1.3603808461157043,701.8240576929486,11.199068901500343,45.10711119514802,0.0057767287975484805,448.05544940848114,15.790608626209234,pulse_wise_feeding,oils,1.22245463195316
Escherichia_coli,7.109309088405984,33.99811822807642,18.833622446505377,1.8985275032895046,488.94822450056364,10.300235967789401,51.72247578504853,0.0075396432114164845,622.7390948426419,23.554199439032597,continuously_fed,sugars,1.240684524898976
Escherichia_coli,6.858721566545427,31.803413909199598,18.375538591403455,2.1796246956636334,414.27992119615584,19.379888009504718,25.38272125431268,0.009973272103727318,615.7656567306683,27.89985165053209,pulse_wise_feeding,oils,1.0938836735975581
Escherichia_coli,7.004439435763713,31.95146179059485,15.744876150525256,1.8383491116833015,751.6153628500474,8.020661743805636,36.144079999699144,0.01405813939167551,449.3934722243956,25.155833240973024,pulse_wise_feeding,oils,1.2171697322588344
Escherichia_coli,7.088068816166435,34.17003012362176,15.349716611737167,2.7151709236342327,672.4407564296763,6.872538043720709,49.56343033847794,0.00025363621498357246,665.2385365522994,13.403246435649837,pulse_wise_feeding,oils,1.302993136489703
Cupriavidus_necator,7.141129656675179,33.534378174946426,10.573972919560857,2.4011398077238737,427.3692587844955,16.053764954583656,42.284576301541826,0.012118394259388748,538.1269712018058,15.568036067684236,continuously_fed,sugars,1.1068569905038739
Escherichia_coli,6.8402661110543646,32.471554360171794,19.478231326055646,1.8148417282789302,781.4920405217438,14.796493468570434,23.312751411076448,0.006902466792653084,552.6029356774599,11.699637613876462,continuously_fed,sugars,1.040358392921859
Cupriavidus_necator,7.079719033528837,29.744928984614234,12.474599497910392,1.6473341123062464,557.9054558981659,8.645280577019527,57.1541697696281,0.01202530799674766,387.40326056636184,29.42743600545404,pulse_wise_feeding,oils,1.2751244757232394
Cupriavidus_necator,7.112329540197416,31.314648671456013,18.931612057090938,2.974274661458818,461.7412392589913,16.768924236429463,50.58258825974844,0.017590911122895743,495.7176166328637,21.03126021243974,continuously_fed,oils,1.2721615171587877
Escherichia_coli,6.988120921500663,33.8193122210294,10.421128493313235,2.328719587030376,528.1430733784935,10.234733302562073,57.50712266673838,0.017792963677465263,613.4557752073355,23.152755729414697,pulse_wise_feeding,sugars,1.1446042586424636
Cupriavidus_necator,7.193703551091637,30.289267664854165,10.832872475603173,1.3797159871533464,692.1767262407437,14.861574071249802,56.75611310780048,0.008619076064282518,560.3703200308937,16.745810638986107,continuously_fed,oils,1.2402301589320295
Cupriavidus_necator,7.071631782932423,28.831008582784563,17.186121193510125,2.299236800719687,610.4882082346121,9.148593934972268,29.14138590606338,0.005074151103176712,452.84135116292134,16.972816794695582,continuously_fed,sugars,1.3827917744381382
Escherichia_coli,7.129259557690513,31.83748091676019,17.783474483523978,1.7543774410895048,655.7188905725442,6.723841623002322,25.727730085434835,0.0040309590136934845,534.6248692247227,11.927679128921165,pulse_wise_feeding,sugars,1.038209800821197
Cupriavidus_necator,6.8375282516128015,27.81041215884916,17.79868133370499,2.3955395174219185,739.7306417027735,11.906026822838907,48.98125845523406,0.01998343823516307,643.8190226477868,15.172501802591905,continuously_fed,sugars,1.139630315250646
Escherichia_coli,7.0086381365207835,35.014121147211526,14.260491105093699,1.7189376368465588,531.5957580724821,19.410229521828672,52.614323270373674,0.008084624828014563,668.6535734100278,17.069807541878536,continuously_fed,sugars,1.355834914748549
Escherichia_coli,6.917058795943013,31.830817226137,15.673985491520959,1.5320263993285057,763.8231514823144,7.881662189880368,37.724317766628886,0.0016027203464573558,645.1779155375261,17.075388805353526,pulse_wise_feeding,oils,1.1945226867162488
Escherichia_coli,7.136410558415351,32.98685713539762,16.581239177583846,2.1580460805091186,754.081847555273,15.019500679886045,52.41429829883353,0.012889969080246212,630.8814765841933,19.727462616233126,pulse_wise_feeding,oils,1.148443869849502
Escherichia_coli,6.8678511582054185,32.912482713599495,10.161588288621772,1.474301381470748,412.47443992913963,12.150753069078242,34.59573244430051,0.014145114493781741,362.17807098271464,22.841871719626468,pulse_wise_feeding,sugars,1.0878499888298938
Escherichia_coli,7.178300595668729,32.303045822402126,16.056887563844935,2.0621594667952694,527.1324481021328,10.028006158862219,37.30030489568248,0.01915752769211297,530.3441387497335,16.888921857046018,continuously_fed,oils,1.210630300285344
Escherichia_coli,6.838617741275453,31.105429999490894,13.862577891465559,2.3032365278948888,683.9063982763531,7.671103019838905,42.71913650011483,0.00219134802241157,305.9736629453397,29.01427468477942,pulse_wise_feeding,sugars,1.1445029047770092
Cupriavidus_necator,7.032810273169201,33.38413873355772,15.315907878925714,2.5713836858993497,751.8708179006849,19.78052906008675,35.16854998237108,0.018566959534052425,456.0259871520723,20.38422838521459,continuously_fed,sugars,1.2850746576748178
Escherichia_coli,7.164159705062863,33.844634737165514,19.155075670983287,2.009307375934785,511.0935841018735,16.251799428741123,53.510371377633035,0.00986416709897185,308.0025093324646,28.503454541825892,continuously_fed,oils,1.2289147230070607
Escherichia_coli,6.890363015235807,30.19237911626454,16.914176739805825,1.707208178756957,436.05530304852834,13.505588140998215,26.32741620386578,0.001372130831941083,419.0985128163018,24.91996341896394,continuously_fed,oils,1.288845421123364
Cupriavidus_necator,6.978370947488584,28.028926285487632,10.621794637744925,2.9623964310849553,762.0155756703609,6.090037102416774,46.7674372744369,0.01582161927450023,449.69870090703637,29.604966048460756,continuously_fed,oils,1.240381439716248
Escherichia_coli,7.1876035006139904,28.94603138263996,10.099471310513572,1.6871866627637628,759.3711300946683,14.70669151163232,46.468613450676756,0.01911959061175682,330.5422668035268,14.513141235115546,continuously_fed,oils,0.9900696533246576
